# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
33.25,-10.80,7.26,7260.00,8.43,0.19,3.74,0.07,-0.05,-0.05,8.43,4.29,11.19,5.27,11.19,10.15
33.25,-10.80,7.38,7380.00,6.47,0.26,3.84,0.15,5.40,5.40,9.54,4.32,11.19,5.27,11.19,10.15
33.25,-10.80,7.50,7500.00,8.34,0.31,2.59,0.22,2.01,2.01,15.88,5.16,11.19,5.27,11.19,10.15
33.25,-10.80,7.62,7620.00,,,,,,,12.84,5.07,11.19,5.27,12.84,10.56
33.25,-10.81,7.74,7740.00,16.05,0.14,5.75,0.10,3.01,3.01,12.84,5.07,12.84,10.47,12.84,10.56
33.25,-10.81,7.86,7860.00,18.07,1.55,4.44,1.50,4.63,4.63,14.44,5.09,12.84,10.47,12.84,10.56
33.25,-10.81,7.98,7980.00,20.70,0.41,9.77,0.13,8.43,8.43,16.05,4.29,12.84,10.47,12.84,10.56
33.24,-10.81,8.10,8100.00,12.84,0.18,5.03,0.04,2.38,2.38,17.06,2.87,12.84,10.47,12.84,10.56
33.24,-10.81,8.22,8220.00,,,,,,,17.06,2.87,12.84,10.47,14.36,10.83
33.24,-10.81,8.34,8340.00,,,,,,,18.07,3.27,14.36,10.33,14.36,10.83
33.24,-10.81,8.46,8460.00,,,,,,,16.77,3.93,15.88,10.64,15.88,11.21
33.24,-10.81,8.58,8580.00,,,,,,,12.84,0.00,16.05,11.38,15.88,11.21
33.24,-10.81,8.70,8700.00,,,,,,,43.95,0.00,16.05,11.38,15.96,11.28
33.24,-10.81,8.82,8820.00,,,,,,,43.95,0.00,17.06,11.49,15.96,11.28
33.24,-10.82,8.94,8940.00,,,,,,,43.95,0.00,18.07,11.10,15.96,11.28
33.24,-10.82,9.06,9060.00,,,,,,,43.95,0.00,19.39,10.51,15.88,11.05
33.24,-10.82,9.18,9180.00,43.95,0.67,4.95,0.39,3.76,3.76,43.95,0.00,19.39,10.51,15.88,11.05
33.24,-10.82,9.30,9300.00,,,,,,,43.95,0.00,20.70,10.91,15.96,10.75
33.24,-10.82,9.42,9420.00,,,,,,,43.95,0.00,29.72,10.53,16.05,10.83
33.24,-10.82,9.54,9540.00,,,,,,,36.83,7.12,30.76,11.09,17.06,11.22
33.24,-10.82,9.66,9660.00,,,,,,,36.83,7.12,30.89,5.88,17.06,11.22
33.24,-10.82,9.78,9780.00,,,,,,,29.72,0.00,30.89,5.88,18.07,11.16
33.24,-10.82,9.90,9900.00,,,,,,,29.72,0.00,30.89,5.88,19.39,10.70
33.24,-10.83,10.02,10020.00,29.72,0.48,12.05,0.07,0.43,0.43,29.72,0.00,29.98,10.55,20.70,10.16
33.24,-10.83,10.14,10140.00,,,,,,,29.72,0.00,29.98,10.55,20.70,10.16
33.24,-10.83,10.26,10260.00,,,,,,,29.72,0.00,29.98,10.55,25.21,10.38
33.24,-10.83,10.38,10380.00,,,,,,,30.76,1.04,29.98,10.55,29.72,10.76
33.24,-10.83,10.50,10500.00,,,,,,,30.76,1.04,29.98,10.55,29.85,11.41
33.24,-10.83,10.62,10620.00,,,,,,,30.89,0.91,29.98,10.55,29.98,10.55
33.24,-10.83,10.74,10740.00,,,,,,,30.89,0.91,29.85,8.48,29.98,10.55
33.24,-10.83,10.86,10860.00,31.80,0.23,3.62,0.14,1.86,1.86,30.89,0.91,29.85,8.48,29.98,10.55
33.24,-10.83,10.98,10980.00,,,,,,,29.98,9.40,29.85,8.48,29.98,10.55
33.24,-10.83,11.10,11099.00,29.98,0.37,14.97,0.03,1.62,1.62,29.98,9.40,29.85,8.48,29.98,10.55
33.23,-10.83,11.22,11219.00,,,,,,,29.98,9.40,29.85,8.48,29.98,10.55
33.23,-10.84,11.34,11339.00,,,,,,,29.98,9.40,29.85,8.48,29.98,10.55
33.23,-10.84,11.46,11459.00,11.01,0.14,2.73,0.22,4.84,4.84,20.49,9.48,29.85,8.48,29.98,10.55
33.23,-10.84,11.58,11579.00,,,,,,,20.49,9.48,29.98,9.40,29.98,10.55
33.23,-10.84,11.70,11699.00,,,,,,,11.01,0.00,29.98,9.40,29.72,10.67
33.23,-10.84,11.82,11819.00,,,,,,,11.01,0.00,29.98,9.40,29.72,10.67
33.23,-10.84,11.94,11939.00,,,,,,,11.01,0.00,29.98,9.40,29.72,10.67
33.23,-10.84,12.06,12059.00,,,,,,,,,29.98,9.40,29.72,10.67
33.23,-10.84,12.18,12179.00,,,,,,,,,29.98,9.40,29.85,10.91
33.23,-10.84,12.30,12299.00,,,,,,,,,29.98,9.40,29.98,13.10
33.23,-10.84,12.42,12419.00,,,,,,,,,20.49,9.48,29.98,13.10
33.23,-10.84,12.54,12539.00,,,,,,,,,20.49,9.48,30.89,14.12
33.23,-10.84,12.66,12659.00,,,,,,,,,8.94,2.07,31.80,13.35
33.23,-10.85,12.78,12779.00,,,,,,,,,8.94,2.07,31.80,13.35
33.22,-10.85,12.90,12899.00,,,,,,,,,8.94,2.07,31.80,13.35
33.22,-10.85,13.02,13019.00,,,,,,,,,6.87,0.00,31.80,13.35
33.22,-10.85,13.14,13139.00,,,,,,,,,20.98,14.11,31.80,13.35
33.22,-10.85,13.26,13259.00,,,,,,,,,35.09,17.15,30.89,12.51
33.22,-10.85,13.38,13379.00,,,,,,,,,35.09,17.15,29.98,13.28
33.22,-10.85,13.50,13499.00,,,,,,,,,35.09,17.15,29.98,13.28
33.22,-10.85,13.62,13619.00,,,,,,,6.87,0.00,34.98,15.00,34.87,16.41
33.22,-10.85,13.74,13739.00,,,,,,,6.87,0.00,34.98,15.00,34.87,16.41
33.22,-10.85,13.86,13859.00,,,,,,,6.87,0.00,34.98,15.00,34.87,16.41
33.22,-10.85,13.98,13979.00,,,,,,,6.87,0.00,34.98,15.00,34.98,15.42
33.22,-10.86,14.10,14099.00,6.87,0.13,4.59,0.10,2.03,2.03,20.98,14.11,34.98,15.00,34.87,14.88
33.22,-10.86,14.22,14219.00,,,,,,,35.09,17.15,34.87,13.59,30.30,16.30
33.22,-10.86,14.34,14339.00,,,,,,,35.09,17.15,34.87,13.59,30.30,16.30
33.22,-10.86,14.46,14459.00,,,,,,,35.09,17.15,34.87,13.59,30.30,16.30
33.22,-10.86,14.58,14579.00,35.09,0.17,5.66,0.07,9.05,9.05,34.98,15.00,34.98,15.42,30.30,16.30
33.22,-10.86,14.70,14699.00,47.91,0.83,6.30,0.51,15.15,15.15,35.09,6.10,34.98,15.42,30.30,16.30
33.22,-10.86,14.82,14819.00,,,,,,,35.09,6.10,34.98,15.42,30.30,16.30
