# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
32.04,-11.95,7.26,7257,,,,,,,7.96,2.48,8.85,3.52,10.15,4.74
32.04,-11.95,7.38,7377,5.52,0.13,1.15,0.05,2.48,2.48,7.9,2.49,9.5,4.56,10.82,5.2
32.04,-11.95,7.5,7497,5.73,0.18,4.25,0.06,0.52,0.52,8.85,4.07,9.5,4.56,11.49,5.89
32.04,-11.95,7.62,7617,8.85,0.22,2.96,0.08,1.08,1.08,8.85,4.07,9.5,4.56,11.49,5.89
32.04,-11.95,7.74,7737,11.49,0.13,2.69,0.02,0.81,0.81,7.9,4.32,9.5,4.56,10.82,5.86
32.04,-11.95,7.86,7857,6.95,0.26,3.44,0.18,3.38,3.38,8.85,4.01,9.5,4.56,10.82,5.86
32.04,-11.95,7.98,7977,17.93,0.23,1.38,0.08,1.84,1.84,9.5,3.96,10.82,4.64,11.52,5.86
32.04,-11.95,8.1,8097,,,,,,,10.82,3.45,10.82,4.64,11.52,5.86
32.04,-11.95,8.22,8217,,,,,,,11.49,3.59,10.82,4.64,11.54,5.68
32.04,-11.94,8.34,8337,10.15,0.2,0.2,0.11,1.98,1.98,12.38,5.02,11.52,5.24,11.54,5.68
32.04,-11.94,8.46,8457,,,,,,,15.16,4.2,11.54,6.04,11.54,5.68
32.04,-11.94,8.58,8577,12.38,0.32,3.44,0.19,1.39,1.39,12.38,4.52,11.54,6.04,11.54,5.68
32.04,-11.94,8.7,8697,,,6.87,0.07,-0.68,-0.68,12.38,4.52,11.94,6.27,11.54,5.68
32.04,-11.94,8.82,8817,20.66,0.18,1.19,0.09,4.77,4.77,12.38,4.52,11.94,6.27,11.54,5.68
32.04,-11.94,8.94,8937,,,,,,,15.44,3.42,13.91,5.81,11.96,5.69
32.04,-11.94,9.06,9057,,,-0.64,0.17,0.57,0.57,15.44,3.42,15.44,5.43,11.96,5.69
32.04,-11.94,9.18,9177,,,,,,,18.05,2.61,15.44,5.14,11.54,5.67
32.04,-11.94,9.3,9297,,,,,,,20.66,2.64,15.54,5.23,11.96,5.67
32.04,-11.93,9.42,9417,15.44,0.27,4.21,0.14,2.91,2.91,21.37,3.89,15.63,4.55,11.96,5.67
32.04,-11.93,9.54,9537,,,,,,,21.37,3.89,15.54,4.8,11.96,5.67
32.04,-11.93,9.66,9657,,,,,,,21.37,3.89,15.54,4.8,11.94,6.08
32.04,-11.93,9.78,9777,21.37,0.2,4.17,0.07,0.4,0.4,21.37,3.89,15.54,4.8,11.94,6.08
32.04,-11.93,9.9,9897,24.88,0.48,2.3,0.16,0.74,0.74,18.5,3.99,15.63,4.41,12.38,5.99
32.04,-11.93,10.02,10017,,,,,,,21.37,3.81,15.63,4.41,12.55,5.86
32.04,-11.93,10.14,10137,,,,,,,18.5,4.76,15.63,5.46,12.71,5.93
32.04,-11.93,10.26,10257,,,,,,,18.5,4.76,15.63,5.46,14.08,6.13
32.04,-11.93,10.38,10377,15.63,0.23,0.6,0.14,0,0,15.63,5.19,15.54,5.66,15.44,5.99
32.04,-11.93,10.5,10497,,,,,,,14.17,1.46,15.54,5.66,14.08,6.2
32.04,-11.92,10.62,10617,12.71,0.51,1.23,0.25,0.79,0.79,14.17,1.46,15.44,6.79,14.08,6.2
32.04,-11.92,10.74,10737,,,,,,,14.17,1.46,15.44,6.79,14.08,6.2
32.04,-11.92,10.86,10857,,,,,,,14.17,1.46,15.44,6.79,15.44,6.36
32.04,-11.92,10.98,10977,,,,,,,12.71,0,14.17,7.32,15.44,6.36
32.04,-11.92,11.1,11097,,,,,,,10.06,2.65,14.17,7.32,15.54,6.67
32.05,-11.92,11.22,11217,,,,,,,7.41,0,14.17,7.32,15.54,6.67
32.05,-11.92,11.34,11337,,,,,,,7.41,0,12.71,7.24,15.44,6.79
32.05,-11.92,11.46,11457,,,,,,,7.41,0,10.06,4.55,15.54,7.24
32.05,-11.92,11.58,11577,7.41,0.1,0.03,0.1,0.42,0.42,5.66,1.76,10.06,4.55,15.63,10.44
32.05,-11.92,11.7,11697,,,,,,,5.66,1.76,10.06,4.55,15.63,10.44
32.05,-11.91,11.82,11817,,,,,,,5.66,1.76,10.06,4.55,15.54,10.59
32.05,-11.91,11.94,11937,,,-0.33,0.1,1.52,1.52,5.66,1.76,7.41,3.62,17.64,10.58
32.05,-11.91,12.06,12057,3.9,0.1,2.18,0.04,1.03,1.03,5.66,1.76,7.41,3.62,19.64,15.44
32.05,-11.91,12.18,12177,,,,,,,3.9,0,5.66,1.76,19.64,15.44
32.05,-11.91,12.3,12297,,,,,,,3.9,0,5.66,1.76,19.64,17.94
32.05,-11.91,12.42,12417,,,,,,,3.9,0,7.41,9.23,17.64,18.81
32.05,-11.91,12.54,12537,,,,,,,3.9,0,16.21,14.83,17.64,18.81
32.05,-11.91,12.66,12657,,,,,,,,,16.21,14.83,17.64,18.81
32.05,-11.91,12.78,12777,,,,,,,,,7.41,14.26,17.64,18.81
32.05,-11.91,12.9,12897,,,,,,,,,13.53,13.07,19.64,19.59
32.06,-11.91,13.02,13017,,,,,,,,,19.64,18.83,22.32,18.69
32.06,-11.91,13.14,13137,,,,,,,,,22.32,19.13,25,19.15
32.06,-11.9,13.26,13257,,,,,,,,,25,20.16,22.32,18.7
32.06,-11.9,13.38,13377,,,,,,,25,0,25,20.16,22.32,18.7
32.06,-11.9,13.5,13497,,,,,,,32.97,7.97,25,20.16,22.32,18.7
32.06,-11.9,13.62,13617,,,,,,,32.97,7.97,32.97,18.6,22.32,18.7
32.06,-11.9,13.74,13737,,,,,,,25,14.21,32.97,18.6,25,18.19
32.06,-11.9,13.86,13857,25,0.4,21.74,0.16,13.97,13.97,22.32,12.45,32.97,18.6,28.41,17.73
32.06,-11.9,13.98,13977,,,,,,,,,,,,
32.06,-11.9,14.1,14097,,,,,,,25,18.04,31.83,17.23,31.83,17.34
32.06,-11.9,14.22,14216,6.18,0.21,10.26,0.04,5.68,5.68,32.97,18.6,28.41,17.55,31.83,17.34
32.06,-11.9,14.34,14336,19.64,0.9,8.09,0.55,0.61,0.61,32.97,18.6,28.41,17.55,31.83,17.34
32.06,-11.9,14.46,14456,,,,,,,,,,,,
32.06,-11.89,14.58,14576,,,,,,,36.43,22.05,28.41,17.55,35.17,16.01
32.06,-11.89,14.7,14696,,,,,,,,,,,,
32.06,-11.89,14.82,14816,,,,,,,53.23,17.19,35.17,16.01,35.17,16.01
32.06,-11.89,14.94,14936,,,,,,,53.23,11.51,35.17,16.01,35.17,16.01
32.06,-11.89,15.06,15056,,,,,,,42.53,10.7,35.17,16.01,35.17,16.01
32.07,-11.89,15.18,15176,,,,,,,31.83,16.6,35.17,16.01,35.17,16.01
32.07,-11.89,15.3,15296,,,,,,,22.21,9.62,35.17,16.01,35.17,16.01
32.07,-11.89,15.42,15416,31.83,0.84,18.47,0.42,5.52,5.52,22.21,9.62,38.5,16.66,35.17,16.01
32.07,-11.89,15.54,15536,,,26.11,0.53,-0.51,-0.51,22.21,9.62,35.17,17.44,35.17,16.01
32.07,-11.89,15.66,15656,12.59,0.82,20.44,0.19,5.23,5.23,31.83,10.99,35.17,17.44,35.17,16.01
32.07,-11.89,15.78,15776,,,,,,,35.17,10.71,38.5,15.34,31.83,15.43
32.07,-11.89,15.9,15896,,,,,,,35.17,10.71,38.75,14.88,28.41,16.02
32.07,-11.89,16.02,16016,,,,,,,38.5,12.33,38.5,13.21,28.41,16.02
32.07,-11.88,16.14,16136,,,,,,,,,,,,
32.07,-11.88,16.26,16256,,,,,,,,,,,,
32.07,-11.88,16.38,16375,,,,,,,38.75,0.24,35.17,10.71,28.24,16.37
32.07,-11.88,16.5,16495,,,,,,,38.75,0.24,35.17,10.71,24.65,16.7
32.08,-11.88,16.62,16615,,,,,,,38.75,0.24,35.17,10.71,24.65,16.7
32.08,-11.88,16.74,16735,,,,,,,38.99,0,31.83,9.86,28.24,15.91
32.08,-11.88,16.86,16855,,,,,,,,,28.24,11.66,31.83,16.34
32.08,-11.88,16.98,16975,,,,,,,,,24.65,12.45,24.65,13.37
32.08,-11.88,17.1,17095,,,,,,,,,20.86,11.73,24.65,13.37
32.08,-11.88,17.22,17215,,,,,,,,,24.65,11.67,24.65,11.45
32.08,-11.88,17.34,17335,,,,,,,,,24.65,11.67,28.24,12.24
32.08,-11.88,17.45,17454,,,,,,,,,24.65,11.67,28.24,12.24
32.08,-11.88,17.57,17573,,,,,,,,,24.65,11.67,29.8,11.68
