# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
32.08,-11.76,31.49,31489,,,,,,,31.07,5.04,29.67,11.21,31.02,10.63
32.08,-11.76,31.61,31609,,,,,,,29.67,4.53,29.67,11.21,31.02,10.63
32.08,-11.76,31.73,31729,32.47,0.41,8.08,0.07,3,3,27.12,5.35,29.67,11.21,31.02,10.63
32.08,-11.76,31.85,31849,,,,,,,27.12,5.35,32.37,4.62,31.02,10.63
32.08,-11.76,31.97,31969,,,,,,,32.47,0,32.37,4.62,31.02,10.63
32.08,-11.76,32.09,32089,,,,,,,32.47,0,32.37,4.62,29.67,9.89
32.08,-11.76,32.21,32209,,,,,,,32.47,0,32.37,4.62,29.67,9.89
32.08,-11.76,32.33,32329,,,,,,,,,32.37,4.62,29.67,9.89
32.08,-11.76,32.45,32449,,,,,,,,,32.37,4.62,29.67,9.89
32.08,-11.75,32.57,32569,,,,,,,,,31.02,4.36,26.5,9.31
32.08,-11.75,32.69,32689,,,,,,,,,32.37,5.02,29.67,9.19
32.08,-11.75,32.81,32809,,,,,,,32.37,0,32.37,5.02,31.02,5.19
32.08,-11.75,32.93,32929,,,,,,,32.37,0,32.42,0.05,32.37,6.89
32.08,-11.75,33.05,33049,,,,,,,32.37,0,32.37,4.28,32.42,12.17
32.08,-11.75,33.17,33168,,,,,,,32.37,0,32.37,4.28,32.42,12.17
32.08,-11.75,33.29,33288,32.37,0.84,23.4,0.02,9.17,9.17,32.37,0,27.85,4.52,32.42,12.17
32.08,-11.75,33.41,33408,,,,,,,32.37,0,27.85,4.52,32.42,12.17
32.08,-11.75,33.53,33528,,,,,,,32.37,0,23.34,4.51,32.37,12.82
32.08,-11.74,33.65,33648,,,,,,,32.37,0,27.85,5.19,32.47,12.74
32.08,-11.74,33.77,33768,,,,,,,32.37,0,27.85,5.19,32.47,12.74
32.08,-11.74,33.89,33888,,,,,,,,,32.37,8.01,32.93,12.67
32.08,-11.74,34.01,34008,,,,,,,23.34,0,33.13,14.5,32.93,12.67
32.08,-11.74,34.13,34128,,,,,,,23.34,0,33.13,14.5,33.38,12.32
32.08,-11.74,34.25,34248,,,,,,,23.34,0,33.13,14.5,33.64,12.96
32.09,-11.74,34.37,34368,,,,,,,23.34,0,33.13,14.5,33.38,14.36
32.09,-11.74,34.49,34488,23.34,0.12,12.29,0.04,11.91,11.91,22.84,0.5,33.13,14.5,33.38,14.36
32.09,-11.74,34.61,34608,,,,,,,23.34,5.23,33.38,13.47,32.88,14.14
32.09,-11.74,34.73,34728,,,,,,,23.34,5.23,33.38,13.47,32.37,13.69
32.09,-11.73,34.85,34848,,,,,,,28.61,8.94,33.64,14.45,32.37,13.69
32.09,-11.73,34.97,34968,22.34,0.38,8.07,0.34,1.94,1.94,33.89,15.73,33.64,14.45,29.37,13.23
32.09,-11.73,35.09,35088,33.89,0.39,11.21,0.09,2.69,2.69,39.11,15.63,33.89,13.7,29.37,13.23
32.09,-11.73,35.21,35208,,,,,,,39.11,15.63,33.89,13.7,26.38,13.43
32.09,-11.73,35.33,35328,44.32,0.97,8.8,0.26,7.05,7.05,39.11,15.63,33.64,15.21,26.38,13.43
32.09,-11.73,35.45,35448,64.83,0.5,11.66,0.28,8.94,8.94,39.11,15.63,33.64,15.21,26.38,13.43
32.09,-11.73,35.57,35568,,,,,,,39.11,12.73,33.38,14.9,25.77,14.25
32.09,-11.73,35.69,35688,,,,,,,44.32,13.03,29.28,14.36,25.77,14.25
32.09,-11.73,35.81,35808,,,,,,,44.32,13.03,29.28,14.36,25.17,14.77
32.09,-11.73,35.93,35928,,,,,,,49.11,15.72,26.38,13.82,25.17,14.77
32.09,-11.72,36.05,36048,33.38,0.25,10.6,0.07,8.81,8.81,39.42,6.03,29.88,14.19,25.17,14.77
32.09,-11.72,36.17,36167,,,,,,,39.42,6.03,26.38,14.39,25.17,14.77
32.09,-11.72,36.29,36287,,,,,,,33.38,13.19,26.38,14.39,25.17,14.77
32.09,-11.72,36.41,36407,,,,,,,33.38,13.19,26.38,14.39,25.17,14.77
32.09,-11.72,36.53,36527,45.45,0.64,3.28,0.18,1.85,1.85,27.83,12,26.38,15.78,24.25,15.2
32.1,-11.72,36.65,36647,,,,,,,23.73,11.71,25.77,16.51,23.34,14.9
32.1,-11.72,36.77,36767,13.45,0.32,9.98,0.04,6.89,6.89,23.73,11.71,25.77,16.51,23.34,14.9
32.1,-11.72,36.89,36885,,,,,,,25.17,10.48,25.17,16.65,23.34,14.9
32.1,-11.72,37.01,37005,22.28,0.44,10.75,0.07,5.19,5.19,25.17,10.48,23.73,11.15,25.17,14.87
32.1,-11.72,37.13,37125,25.17,0.43,7.78,0.03,3.15,3.15,22.28,5.08,23.73,11.15,25.17,14.87
32.1,-11.72,37.25,37245,,,,,,,22.28,5.08,23.73,11.15,25.17,14.87
32.1,-11.72,37.37,37365,26.38,0.27,4.19,0.08,1.11,1.11,23.73,4,23.73,11.15,25.17,14.87
32.1,-11.71,37.49,37485,,,,,,,22.28,6.87,22.28,11.58,25.77,15.33
32.1,-11.71,37.61,37605,16.04,0.45,8.32,0.03,1.54,1.54,20.61,7.53,17.62,10.9,25.17,15.81
32.1,-11.71,37.73,37725,,,,,,,16.04,7.6,17.62,10.9,25.17,15.81
32.1,-11.71,37.85,37845,,,,,,,16.04,7.6,17.62,10.9,23.73,15.62
32.1,-11.71,37.97,37965,7.8,0.13,3.76,0.05,3.64,3.64,11.92,4.12,19.95,10.57,22.28,10.69
32.1,-11.71,38.09,38085,,,,,,,11.92,4.12,17.62,7.1,22.28,10.69
32.1,-11.71,38.21,38205,,,,,,,7.8,0,17.62,7.1,19.95,10.38
32.1,-11.71,38.33,38325,,,,,,,7.8,0,19.95,7.31,19.95,10.38
32.1,-11.71,38.45,38445,,,,,,,8.06,0.26,19.95,7.31,19.95,10.38
32.1,-11.71,38.57,38565,,,,,,,12.97,4.65,17.62,7.69,17.62,10.19
32.1,-11.7,38.69,38685,,,,,,,12.97,4.65,16.83,7.76,17.62,10.19
32.1,-11.7,38.81,38805,,,,,,,12.97,4.65,16.83,7.76,17.62,10.19
32.1,-11.7,38.93,38925,8.32,0.25,1.68,0.05,1.18,1.18,17.62,7.87,16.04,7.24,17.62,10.19
32.1,-11.7,39.05,39045,17.62,0.38,3.41,0.09,1.62,1.62,17.62,7.87,16.04,7.24,16.83,6.77
32.1,-11.7,39.17,39165,,,,,,,17.62,7.87,15.87,7.23,16.83,6.77
32.1,-11.7,39.29,39285,,,,,,,17.62,7.87,15.87,7.23,17.62,6.96
32.1,-11.7,39.41,39405,27.59,0.56,3.44,0.24,6.61,6.61,17.62,7.87,15.87,7.23,17.62,6.96
32.11,-11.7,39.53,39525,,,,,,,22.6,4.99,16.74,6.87,17.62,6.92
32.11,-11.7,39.65,39645,,,,,,,27.59,0,16.74,6.87,16.83,6.9
32.11,-11.7,39.77,39765,,,,,,,27.59,0,16.74,6.87,16.83,6.9
32.11,-11.69,39.89,39885,,,,,,,27.59,0,16.74,6.87,16.04,6.48
32.11,-11.69,40.01,40005,,,,,,,,,16.74,6.87,16.04,6.48
32.11,-11.69,40.13,40125,,,,,,,15.87,0,16.74,6.87,16.74,7
32.11,-11.69,40.25,40245,,,,,,,15.87,0,16.74,6.87,16.74,7
32.11,-11.69,40.37,40365,,,,,,,15.87,0,16.74,6.87,16.74,7
32.11,-11.69,40.49,40485,,,,,,,15.87,0,19.63,4.51,17.62,6.38
32.11,-11.69,40.61,40605,15.87,0.19,4.65,0.1,1.56,1.56,15.87,0,21.64,4.78,17.62,6.38
32.11,-11.69,40.73,40725,,,,,,,15.87,0,21.64,4.78,17.62,6.38
32.11,-11.69,40.85,40845,,,,,,,15.87,0,21.64,4.78,17.62,6.38
32.11,-11.69,40.97,40965,,,,,,,15.87,0,18.75,2.88,18.59,5.84
32.11,-11.69,41.09,41085,,,,,,,15.87,0,18.75,2.88,17.62,6.09
32.12,-11.69,41.21,41205,,,,,,,,,18.75,2.88,18.59,5.88
32.12,-11.69,41.33,41325,,,,,,,,,18.75,2.88,18.59,5.88
32.12,-11.68,41.45,41445,,,,,,,21.64,0,18.75,2.88,19.56,4.97
32.12,-11.68,41.57,41565,,,,,,,21.64,0,18.75,2.88,20.59,5.32
32.12,-11.68,41.69,41685,,,,,,,21.64,0,18.75,2.88,20.59,5.32
32.12,-11.68,41.81,41805,,,,,,,21.64,0,18.75,2.88,20.59,5.32
32.12,-11.68,41.93,41925,21.64,0.47,6.16,0.13,5.11,5.11,21.64,0,19.56,2.39,19.56,4.25
32.12,-11.68,42.05,42045,,,,,,,21.64,0,17.72,4.25,19.56,4.25
32.12,-11.68,42.17,42165,,,,,,,21.64,0,20.59,4.63,19.56,4.25
32.12,-11.68,42.29,42285,,,,,,,21.64,0,20.59,4.63,19.56,4.25
32.12,-11.68,42.41,42405,,,,,,,21.64,0,20.59,4.63,19.56,4.25
32.12,-11.68,42.53,42525,,,,,,,,,20.59,4.63,17.72,5.24
32.13,-11.68,42.65,42645,,,,,,,,,20.59,4.63,19.56,7.26
32.13,-11.68,42.77,42765,,,,,,,,,20.59,4.63,19.56,7.26
32.13,-11.68,42.89,42885,,,,,,,19.56,0,20.59,4.63,20.59,8
32.13,-11.68,43.01,43005,,,,,,,15,4.56,20.59,4.63,20.32,7.54
32.13,-11.67,43.13,43125,,,,,,,19.56,4.86,20.59,4.63,20.97,7.84
32.13,-11.67,43.25,43245,,,,,,,19.56,4.86,20.59,4.63,20.97,7.84
32.13,-11.67,43.37,43365,19.56,0.38,2.08,0.13,2.13,2.13,19.56,4.86,20.59,4.63,20.52,7.39
32.13,-11.67,43.49,43485,10.43,0.38,3.5,0.23,1.3,1.3,19.56,4.86,15,5.68,20.52,7.39
32.13,-11.67,43.61,43605,21.63,0.4,2.87,0.17,2.85,2.85,19.56,4.86,19.56,8.39,20.52,7.39
32.13,-11.67,43.73,43725,,,,,,,19.56,4.86,19.56,8.39,20.52,7.39
32.13,-11.67,43.85,43845,,,,,,,19.56,4.86,20.59,9.04,20.52,7.39
32.13,-11.67,43.97,43965,,,,,,,16.03,5.6,20.32,8.37,20.52,7.39
32.13,-11.67,44.09,44085,,,,,,,21.63,0,20.32,8.37,21.07,8.32
32.14,-11.67,44.21,44205,,,,,,,,,20.32,8.37,21.07,8.32
32.14,-11.67,44.33,44325,,,,,,,,,20.42,7.83,21.07,8.32
32.14,-11.67,44.45,44445,,,,,,,8.39,0,20.42,7.83,20.52,8.77
32.14,-11.67,44.57,44565,,,,,,,20.04,11.65,20.42,7.83,20.52,8.77
32.14,-11.66,44.69,44685,,,,,,,20.04,11.65,20.42,7.83,20.52,8.77
32.14,-11.66,44.81,44805,,,,,,,31.22,10.87,20.42,7.83,20.52,8.77
32.14,-11.66,44.93,44925,8.39,1.14,20.23,0.69,7.88,7.88,25.77,9.54,20.52,8.36,20.52,8.77
32.14,-11.66,45.05,45045,31.69,0.5,6.33,0.34,3.93,3.93,25.77,9.54,21.63,8.61,20.52,8.77
32.14,-11.66,45.17,45165,,,,,,,25.77,9.54,25.87,9.23,20.52,8.77
32.14,-11.66,45.29,45285,31.22,0.67,11.73,0.03,1.97,1.97,20.52,8.58,25.87,9.23,20.52,8.77
32.14,-11.66,45.41,45405,20.32,0.67,5.09,0.29,3.99,3.99,20.52,8.58,25.87,9.23,20.52,8.77
32.14,-11.66,45.53,45525,,,,,,,25.87,5.52,25.87,9.23,21.07,8.32
32.14,-11.66,45.65,45645,,,,,,,20.52,5.09,25.87,9.23,20.52,8.04
32.15,-11.66,45.77,45765,20.52,0.22,4.88,0.11,0.48,0.48,20.52,5.09,25.87,9.23,20.52,8.04
32.15,-11.66,45.89,45885,,,,,,,20.42,0.1,25.87,9.23,21.07,8.4
32.15,-11.66,46.01,46005,,,,,,,28.03,7.51,25.87,9.23,21.63,7.86
32.15,-11.65,46.13,46125,,,,,,,28.03,7.51,25.87,9.23,21.55,8.32
32.15,-11.65,46.25,46245,,,,,,,28.03,7.51,25.87,9.23,21.55,8.32
32.15,-11.65,46.37,46365,,,,,,,35.54,0,25.87,9.23,21.55,8.32
32.15,-11.65,46.49,46485,35.54,0.51,4.28,0.26,1.04,1.04,35.54,0,26.91,6.04,21.55,8.32
32.15,-11.65,46.61,46605,,,,,,,35.54,0,21.55,6.45,21.55,8.32
32.15,-11.65,46.73,46725,,,,,,,35.54,0,21.55,6.45,21.55,8.32
32.15,-11.65,46.85,46845,,,,,,,35.54,0,20.52,6.29,22.59,7.84
32.15,-11.65,46.97,46965,,,,,,,35.54,0,21.55,6.83,22.59,7.84
32.15,-11.65,47.09,47085,,,,,,,,,21.55,6.83,22.59,7.84
32.15,-11.65,47.21,47205,,,,,,,,,21.55,6.83,22.59,7.84
32.16,-11.65,47.33,47325,,,,,,,,,22.59,7.52,22.59,7.84
32.16,-11.65,47.45,47445,,,,,,,22.59,0,22.59,7.52,23.13,6.08
32.16,-11.65,47.57,47565,,,,,,,20.16,2.44,22.59,7.52,22.59,5.98
32.16,-11.64,47.69,47685,,,,,,,20.16,2.44,22.59,7.52,22.59,5.98
32.16,-11.64,47.81,47805,,,,,,,20.16,2.44,23.13,6.55,21.55,5.75
32.16,-11.64,47.93,47925,22.59,0.22,2.7,0.06,0.89,0.89,20.16,2.44,23.13,6.55,22.59,6.11
32.16,-11.64,48.05,48045,17.72,0.45,4.25,0.15,4.78,4.78,20.16,2.44,22.59,2.59,22.59,6.11
32.16,-11.64,48.17,48165,,,,,,,20.16,2.44,22.59,2.59,22.59,6.11
32.16,-11.64,48.29,48285,,,,,,,20.16,2.44,22.59,2.59,23.13,6.55
32.16,-11.64,48.41,48405,,,,,,,20.16,2.44,22.59,2.59,23.13,6.55
32.16,-11.64,48.53,48525,,,,,,,17.72,0,22.59,2.59,23.13,6.55
32.16,-11.64,48.65,48645,,,,,,,,,22.59,2.59,23.13,6.55
32.17,-11.64,48.76,48764,,,,,,,23.66,0,22.59,2.59,23.13,6.55
32.17,-11.64,48.88,48883,,,,,,,23.66,0,22.59,2.59,23.13,6.55
32.17,-11.64,49,49003,,,,,,,23.66,0,22.59,2.59,22.59,2.59
32.17,-11.64,49.12,49123,,,,,,,23.66,0,22.59,2.59,22.59,2.59
32.17,-11.64,49.24,49243,23.66,0.36,5.59,0.07,1.13,1.13,23.66,0,22.59,2.59,22.59,2.59
32.17,-11.63,49.36,49363,,,,,,,23.66,0,22.59,2.59,22.59,2.59
32.17,-11.63,49.48,49483,,,,,,,23.66,0,20.69,2.97,22.59,2.59
32.17,-11.63,49.6,49603,,,,,,,23.66,0,23.66,0,22.59,2.59
32.17,-11.63,49.72,49722,,,s,,,,23.66,0,23.66,0,22.59,2.59
32.17,-11.63,49.84,49842,,,,,,,,,23.66,0,22.59,2.59
32.17,-11.63,49.96,49962,,,,,,,,,23.66,0,22.59,2.59
32.17,-11.63,50.08,50082,,,,,,,,,23.66,0,22.59,2.59
,,,,,,,,,,,,,,,
20.555,med,,,,,,,,,,,,,,
64.83,max,,,,,,,,,,,,,,
12.15602024,std,,,,,,,,,,,,,,
1.26,error,,,,,,,,,,,,,,
