# Longitude (deg), Latitude (deg), Distance Along Fault (km), Distance Along Fault (m), Scarp Height (m), Scarp Height Std (m), Upper Slope Angle (deg), upper slope std, Lower Slope Angle (deg), lower_slope_std, Filtered Median offset (1km), filtered standard deviation (1km), Filtered Median offset (3km), filtered standard deviation (3km), Filtered Median offset (5km), filtered standard deviation (5km)
31.84,-12.00,7.74,7740.00,,,,,,,,,12.02,4.48,13.94,4.79
31.84,-12.00,7.86,7860.00,,,,,,,,,10.09,4.66,13.94,4.79
31.84,-12.00,7.98,7980.00,,,,,,,18.19,0.00,10.09,4.66,13.94,4.79
31.84,-12.00,8.10,8100.00,,,,,,,14.14,4.05,12.02,4.69,13.94,4.79
31.84,-12.00,8.22,8220.00,,,,,,,14.14,4.05,13.94,4.27,13.94,4.79
31.84,-12.00,8.34,8340.00,,,,,,,14.14,4.05,15.21,3.89,13.94,4.79
31.85,-12.00,8.46,8460.00,18.19,0.66,0.39,0.09,3.85,3.85,16.48,3.48,15.21,3.89,13.94,4.79
31.85,-12.00,8.58,8580.00,10.09,0.18,0.73,0.14,2.59,2.59,15.21,3.05,13.94,3.82,13.94,4.79
31.85,-12.00,8.70,8700.00,,,,,,,13.94,3.82,15.21,4.18,13.94,4.79
31.85,-12.00,8.82,8820.00,,,,,,,13.94,3.82,15.21,4.18,12.02,5.00
31.85,-12.00,8.94,8939.00,16.48,0.26,2.75,0.22,-0.05,-0.05,13.94,3.82,15.21,4.18,12.02,5.00
31.85,-12.00,9.06,9059.00,13.94,0.18,1.17,0.09,2.13,2.13,12.02,3.30,15.21,4.18,13.94,4.97
31.85,-12.00,9.18,9179.00,7.97,0.14,0.58,0.10,2.69,2.69,13.94,3.57,15.21,4.18,15.21,4.51
31.85,-12.00,9.30,9299.00,,,,,,,13.94,3.57,15.21,4.18,15.21,4.28
31.85,-11.99,9.42,9419.00,,,,,,,13.94,3.57,15.21,4.18,15.21,4.28
31.85,-11.99,9.54,9539.00,,,,,,,10.95,2.98,15.21,4.18,13.94,4.31
31.85,-11.99,9.66,9659.00,,,,,,,13.72,5.75,15.21,4.18,13.94,4.31
31.86,-11.99,9.78,9779.00,,,,,,,19.48,0.00,15.21,4.18,13.94,4.31
31.86,-11.99,9.90,9899.00,,,,,,,19.48,0.00,15.21,4.18,13.94,4.31
31.86,-11.99,10.02,10019.00,,,,,,,19.48,0.00,13.94,4.17,13.94,4.31
31.86,-11.99,10.14,10139.00,19.48,0.40,14.07,0.03,4.00,4.00,19.48,0.00,15.21,4.23,13.94,4.31
31.86,-11.99,10.26,10259.00,,,,,,,19.48,0.00,13.94,4.39,13.94,4.31
31.86,-11.99,10.38,10379.00,,,,,,,19.48,0.00,13.94,4.39,13.94,4.31
31.86,-11.99,10.50,10499.00,,,,,,,19.48,0.00,11.42,4.59,13.94,4.31
31.86,-11.99,10.62,10619.00,,,0.85,0.17,-1.21,-1.21,19.48,0.00,8.90,5.22,13.94,4.31
31.86,-11.99,10.74,10739.00,,,,,,,,,14.19,5.29,15.21,5.91
31.86,-11.99,10.86,10859.00,,,-1.51,0.44,2.18,2.18,,,14.19,5.29,15.21,5.91
31.86,-11.98,10.98,10979.00,,,,,,,,,14.19,5.29,15.21,7.89
31.86,-11.98,11.10,11099.00,,,,,,,,,14.19,5.29,16.48,7.99
31.86,-11.98,11.22,11219.00,,,1.42,0.17,-0.44,-0.44,8.90,0.00,14.19,5.29,16.48,7.99
31.87,-11.98,11.34,11339.00,,,,,,,8.90,0.00,14.19,5.29,15.21,7.95
31.87,-11.98,11.46,11459.00,,,,,,,8.90,0.00,14.19,5.29,15.46,7.95
